,manufacturer,productName,releaseYear,memSize,memBusWidth,gpuClock,memClock,unifiedShader,tmu,rop,pixelShader,vertexShader,igp,bus,memType,gpuChip,G3Dmark,G2Dmark,price,gpuValue,TDP,powerPerformance,testDate,category,picture
0,NVIDIA,GeForce MX550,2022.0,2.0,64.0,1065.0,1500.0,1024.0,32.0,16.0,23.2,7.8,No,PCIe 4.0 x8,GDDR6,TU117,5090.0,424.0,202.914,27.502,137.0,42.88199999999999,2022.0,Unknown,https://cdn.wccftech.com/wp-content/uploads/2023/09/NVIDIA-MLPerf-Inference-v3.1-Hopper-H100-Grace-Hopper-GH200-L4-GPU-Performance-_W-_2-g-standard-scale-4_00x-Custom.png
1,NVIDIA,GeForce RTX 3090 Ti,2022.0,24.0,384.0,1560.0,1313.0,10752.0,336.0,112.0,23.2,7.8,No,PCIe 4.0 x16,GDDR6X,GA102,29094.0,1117.0,2099.99,13.85,450.0,64.65,2022.0,Unknown,https://cdn.wccftech.com/wp-content/uploads/2023/09/NVIDIA-MLPerf-Inference-v3.1-Hopper-H100-Grace-Hopper-GH200-L4-GPU-Performance-_W-_2-g-standard-scale-4_00x-Custom.png
2,AMD,Radeon RX 6400,2022.0,4.0,64.0,1923.0,2000.0,768.0,48.0,32.0,23.2,7.8,No,PCIe 4.0 x4,GDDR6,Navi 24,6958.0,899.0,159.99,43.49,89.0,81.86800000000001,2022.0,Unknown,https://www.amd.com/content/dam/amd/en/images/products/graphics/2562591-amd-radeon-chip.jpg
3,AMD,Radeon RX 6500 XT,2022.0,4.0,64.0,2310.0,2248.0,1024.0,64.0,32.0,23.2,7.8,No,PCIe 4.0 x4,GDDR6,Navi 24,9445.0,910.0,199.99,47.23,135.0,73.43800000000002,2022.0,Unknown,https://www.amd.com/content/dam/amd/en/images/products/graphics/2562591-amd-radeon-chip.jpg
4,AMD,Radeon RX 6700S,2022.0,8.0,128.0,1700.0,1750.0,1792.0,112.0,64.0,23.2,7.8,No,PCIe 4.0 x8,GDDR6,Navi 23,11989.0,829.0,376.702,33.498,120.0,99.498,2022.0,Unknown,https://www.amd.com/content/dam/amd/en/images/products/graphics/2562591-amd-radeon-chip.jpg
5,NVIDIA,GeForce RTX 3060,2021.0,12.0,192.0,1320.0,1875.0,3584.0,112.0,48.0,23.2,7.8,No,PCIe 4.0 x16,GDDR6,GA106,16958.0,951.0,329.0,51.55,170.0,99.76,2021.0,Desktop,https://cdn.wccftech.com/wp-content/uploads/2023/09/NVIDIA-MLPerf-Inference-v3.1-Hopper-H100-Grace-Hopper-GH200-L4-GPU-Performance-_W-_2-g-standard-scale-4_00x-Custom.png
6,NVIDIA,GeForce RTX 3070 Ti,2021.0,8.0,256.0,1575.0,1188.0,6144.0,192.0,96.0,23.2,7.8,No,PCIe 4.0 x16,GDDR6X,GA104,23367.0,1003.0,749.99,31.16,290.0,80.58,2021.0,Desktop,https://cdn.wccftech.com/wp-content/uploads/2023/09/NVIDIA-MLPerf-Inference-v3.1-Hopper-H100-Grace-Hopper-GH200-L4-GPU-Performance-_W-_2-g-standard-scale-4_00x-Custom.png
7,NVIDIA,GeForce RTX 3080 Ti,2021.0,12.0,384.0,1365.0,1188.0,10240.0,320.0,112.0,23.2,7.8,No,PCIe 4.0 x16,GDDR6X,GA102,26887.0,1031.0,1199.99,22.41,350.0,76.82,2021.0,Desktop,https://cdn.wccftech.com/wp-content/uploads/2023/09/NVIDIA-MLPerf-Inference-v3.1-Hopper-H100-Grace-Hopper-GH200-L4-GPU-Performance-_W-_2-g-standard-scale-4_00x-Custom.png
8,AMD,Radeon RX 6600,2021.0,8.0,128.0,1626.0,1750.0,1792.0,112.0,64.0,23.2,7.8,No,PCIe 4.0 x8,GDDR6,Navi 23,13881.0,945.0,513.298,30.836,164.0,86.342,2021.0,Unknown,https://www.amd.com/content/dam/amd/en/images/products/graphics/2562591-amd-radeon-chip.jpg
9,AMD,Radeon RX 6600 XT,2021.0,8.0,128.0,1968.0,2000.0,2048.0,128.0,64.0,23.2,7.8,No,PCIe 4.0 x8,GDDR6,Navi 23,15853.0,1003.0,399.99,39.63,160.0,99.08,2021.0,Desktop,https://www.amd.com/content/dam/amd/en/images/products/graphics/2562591-amd-radeon-chip.jpg
